WILLIAMSON,114959,77.17,17.41,0.5,0.7,1.94,2.27
GILBERT,114940,77.8,15.92,0.57,0.69,2.04,2.98
DEAN,114030,76.61,16.82,1.06,0.68,2.2,2.63
SIMS,113374,54.29,39.89,0.41,0.55,2.62,2.24
ESPINOZA,112154,4.03,0.23,0.38,0.27,0.17,94.91
HOWELL,112041,79.48,15.08,0.46,0.72,1.8,2.46
LI,111786,1.49,0.19,96.78,0.02,0.89,0.63
WONG,111371,3.48,0.79,86.49,0.04,5.2,4
REID,111360,59.83,34.1,0.61,0.56,2.28,2.62
HANSON,111144,92.11,2.85,0.7,0.67,1.55,2.11
LE,110967,1.49,0.23,95.59,0.03,1.92,0.75
MCCOY,110744,66.88,26.71,0.46,0.89,2.43,2.64
GARRETT,110697,69.96,24.45,0.44,0.6,2.34,2.2
BURTON,110529,67.32,27.06,0.53,0.51,2.25,2.34
FULLER,110116,73.22,21.06,0.6,0.63,2.16,2.33
WANG,109883,2.59,0.29,95.24,0.02,1.5,0.35
WEBER,109433,94.29,1.29,0.63,0.36,1.25,2.18
WELCH,108987,83.47,10.44,0.54,1.11,1.9,2.55
ROJAS,108421,4.12,0.37,0.76,0.12,0.16,94.46
LUCAS,107690,69.1,18.51,1.63,0.52,2.19,8.05
MARQUEZ,107533,5.1,0.54,2.83,0.37,0.46,90.7
FIELDS,107522,57.66,35.78,0.39,1.24,2.66,2.28
PARK,106696,23.34,0.79,72.98,0.16,1.74,1
YANG,106033,1.03,0.2,96.81,0.02,1.5,0.45
LITTLE,105936,70.11,24.26,0.44,1.26,1.93,2.01
BANKS,105833,39.27,54.51,0.36,0.43,2.98,2.45
PADILLA,105365,6.15,0.4,2.1,0.79,0.41,90.16
DAY,105091,83.08,10.44,1.02,1.08,1.97,2.4
WALSH,105079,94.48,1.11,0.65,0.23,1.35,2.2
BOWMAN,105007,80.82,13.62,0.48,0.8,2.05,2.23
SCHULTZ,104888,94.81,0.7,0.59,0.41,1.28,2.22
LUNA,104518,8.15,0.4,1.84,0.41,0.41,88.78
FOWLER,104515,81.41,12.89,0.48,0.96,2.1,2.16
MEJIA,104057,3.37,0.45,1.33,0.14,0.2,94.51
DAVIDSON,103930,84.38,10.08,0.65,0.65,1.88,2.35
ACOSTA,103418,6.96,0.62,2.26,0.26,0.43,89.48
BREWER,103318,81.3,12.64,0.42,1.35,2.09,2.19
MAY,103306,83.55,9.57,1.22,0.73,1.89,3.04
HOLLAND,102538,76.77,17.67,0.46,0.57,2.16,2.37
JUAREZ,101949,3.42,0.22,0.39,0.16,0.15,95.66
NEWMAN,101931,83.03,11.08,0.61,0.69,1.99,2.6
PEARSON,101836,72.14,22.51,0.56,0.41,2.14,2.24
CURTIS,101801,77.9,15.84,0.53,1.03,2.13,2.57
CORTEZ,101694,6,0.7,2.92,0.29,0.44,89.65
DOUGLAS,101458,58.62,34.67,0.52,0.7,2.69,2.8
SCHNEIDER,101290,95.35,0.43,0.59,0.27,1.2,2.16
JOSEPH,100959,29.59,54.19,9.76,0.99,2.49,2.98
BARRETT,100104,80.7,13.4,0.67,0.62,1.96,2.65
NAVARRO,99807,6.66,0.38,4.04,0.23,0.55,88.14
FIGUEROA,98468,4.93,0.84,1,0.15,0.26,92.82
KELLER,98268,91.4,3.86,0.57,0.46,1.45,2.26
AVILA,97314,7.02,0.43,1.11,0.23,0.26,90.96
WADE,97040,64.94,29.08,0.47,0.74,2.44,2.34
MOLINA,96979,5.82,0.51,2.28,0.64,0.42,90.32
STANLEY,96867,78.79,15.1,0.74,1.16,1.95,2.27
HOPKINS,96810,73.56,20.66,0.48,0.92,2.25,2.14
CAMPOS,96111,7.11,0.39,1.38,0.21,0.39,90.52
BARNETT,95681,76.44,17.47,0.43,0.9,2.2,2.56
BATES,95622,75.35,18.9,0.55,0.76,2.03,2.41
CHAMBERS,94988,65.7,28.5,0.45,0.58,2.29,2.47
CALDWELL,93944,68.05,26.18,0.42,0.74,2.32,2.29
BECK,93786,90.27,4.53,0.74,0.63,1.66,2.17
LAMBERT,93678,83.66,9.88,0.59,1.3,1.77,2.79
MIRANDA,93628,12.32,1.34,4.21,0.42,0.75,80.97
BYRD,92904,59.01,34.59,0.36,1.3,2.64,2.11
CRAIG,92507,79.03,15.15,0.61,0.78,2.06,2.37
AYALA,92463,4.37,0.54,0.47,0.2,0.18,94.25
LOWE,92260,73.04,19.35,1.68,0.96,2.41,2.56
FRAZIER,92152,56.1,37.36,0.4,1.36,2.51,2.27
POWERS,91970,89.6,5.15,0.65,0.55,1.65,2.39
NEAL,91694,62.1,31.84,0.6,0.68,2.61,2.16
LEONARD,91475,80.38,14.07,0.59,0.77,1.77,2.42
GREGORY,91384,78.64,15.56,0.57,0.75,1.99,2.49
CARRILLO,91129,5.13,0.24,0.68,0.36,0.24,93.33
SUTTON,90964,72.77,21.7,0.48,0.68,2.24,2.13
FLEMING,90677,71.71,22.76,0.62,0.52,2.21,2.19
RHODES,90670,74.76,20.04,0.48,0.62,1.92,2.17
SHELTON,90517,73.49,20.64,0.47,0.67,2.5,2.23
SCHWARTZ,90071,95.93,0.44,0.57,0.21,0.96,1.89
NORRIS,89796,79.88,14.41,0.52,0.94,2.04,2.2
JENNINGS,89700,70.87,23.06,0.7,0.66,2.25,2.45
WATTS,89649,68.62,25.52,0.48,0.77,2.35,2.26
DURAN,89401,9.93,0.54,1.23,0.78,0.41,87.11
WALTERS,89376,82.92,11.29,0.65,0.82,1.69,2.63
COHEN,89091,88.89,5.97,0.66,0.11,1.08,3.29
MCDANIEL,88728,76.18,18.35,0.43,0.64,2.05,2.35
MORAN,88615,64.14,2.43,0.7,0.79,1.13,30.81
PARKS,88586,69.39,24.91,0.59,0.67,2.38,2.06
STEELE,88230,78.25,15.6,0.53,1.15,2.02,2.43
VAUGHN,88060,71.52,22.67,0.44,0.75,2.34,2.27
BECKER,87859,94.89,0.52,0.66,0.34,1.26,2.33
HOLT,87531,79.38,14.85,0.57,0.87,2.24,2.1
DELEON,87414,6.64,1.04,8.31,0.21,0.74,83.06
BARKER,87162,86.48,7.83,0.68,0.65,1.92,2.44
TERRY,87000,66.28,27.34,0.56,0.7,2.44,2.68
HALE,86618,82.23,11.41,0.54,1.19,2.21,2.42
LEON,86363,9.99,2.95,1.04,0.37,0.44,85.21
HAIL,86240,73.14,21.6,0.37,0.53,2.09,2.27
BENSON,86081,77.85,16.24,0.79,0.77,1.95,2.41
HAYNES,85974,61.08,33.19,0.42,0.58,2.25,2.47
HORTON,85195,69.99,24.3,0.52,0.69,2.27,2.23
MILES,84942,61.33,32.35,0.49,0.78,2.61,2.44
LYONS,84516,74.88,19.17,0.5,1.01,2.1,2.34
PHAM,84320,0.9,0.2,96.33,0.03,1.81,0.72
GRAVES,84179,69.64,24.19,0.48,0.71,2.38,2.6
BUSH,84018,71.73,22.44,0.57,0.82,2.15,2.29
THORNTON,83967,67.42,27.08,0.46,0.62,2.34,2.06
WOLFE,83928,90.77,3.6,0.52,1.37,1.66,2.09
WARNER,83781,84.22,10.24,0.65,0.61,1.87,2.41
CABRERA,83621,4.47,0.41,3.52,0.12,0.45,91.02
MCKINNEY,83616,68.84,25.18,0.4,0.88,2.37,2.34
MANN,83510,80.39,9.9,3.61,1.32,2.12,2.66
ZIMMERMAN,83265,93.84,2.32,0.52,0.3,1.18,1.85
DAWSON,83182,68.3,25.88,0.64,0.57,2.29,2.33
LARA,83067,5.67,0.37,1.14,0.3,0.24,92.28
FLETCHER,83063,72.86,20.92,0.58,0.74,2.3,2.6
PAGE,82992,75.12,18.93,0.66,0.65,2.02,2.62
MCCARTHY,82950,92.29,3.25,0.68,0.27,1.27,2.24
LOVE,82873,56.49,37.03,0.54,0.51,2.9,2.53
ROBLES,82458,5.07,0.43,2.05,0.36,0.3,91.78
CERVANTES,82161,3.31,0.16,0.91,0.18,0.14,95.31
SOLIS,82146,5.14,0.4,1.61,0.18,0.24,92.43
